
Host: adabbott

Timers On : Mon Sep  9 21:44:18 2019
Timers Off: Mon Sep  9 21:44:20 2019

Wall Time:        1.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| Build Denominators                :      0.000u      0.000s      0.000w      2 calls
| Trans (VV|VV)                     :      0.000u      0.000s      0.004w      1 calls
T2(1)                               :      0.000u      0.000s      0.001w      2 calls
MP2 Energy                          :      0.000u      0.000s      0.001w      2 calls
G int                               :      0.000u      0.000s      0.001w      2 calls
OPDM                                :      0.000u      0.000s      0.000w      2 calls
TPDM OOVV                           :      0.000u      0.000s      0.001w      2 calls
TPDM REF                            :      0.000u      0.000s      0.000w      2 calls
TPDM CORR OPDM                      :      0.000u      0.000s      0.000w      2 calls
T2                                  :      0.000u      0.000s      0.005w      5 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.000w      5 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.000w      4 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      4 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      4 calls
| | New vector                      :      0.000u      0.000s      0.000w      4 calls
CEPA Energy                         :      0.017u      0.000s      0.002w      5 calls
V int                               :      0.000u      0.000s      0.000w      1 calls
TPDM OOOO                           :      0.000u      0.000s      0.000w      1 calls
TPDM OVOV                           :      0.000u      0.000s      0.000w      1 calls
FNOCC: Initializing Integrals       :      0.000u      0.000s      0.000w      1 calls
FNOCC: Two Elec Int Trans.          :      0.000u      0.000s      0.007w      1 calls
FNOCC: CEPA energy                  :      0.050u      0.033s      0.143w      1 calls

**************************************************************************************

Host: adabbott

Timers On : Mon Sep  9 21:54:16 2019
Timers Off: Mon Sep  9 21:54:18 2019

Wall Time:        1.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.150u      0.000s      0.093w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      4 calls
HF: Guess                           :      0.433u      0.000s      0.256w      4 calls
SAD Guess                           :      0.367u      0.000s      0.223w      4 calls
HF: Form G                          :      0.000u      0.000s      0.001w     24 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     24 calls
JK: JK                              :      0.000u      0.000s      0.001w     24 calls
PK computes JK                      :      0.000u      0.000s      0.000w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      0.017u      0.000s      0.007w     20 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w     25 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.001w     24 calls
bMatrix setup                       :      0.000u      0.000s      0.000w     24 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w     24 calls
New vector                          :      0.000u      0.000s      0.000w     24 calls
HF: Form C                          :      0.000u      0.000s      0.001w     20 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      1 calls
Grad: S                             :      0.000u      0.000s      0.000w      1 calls
Grad: JK                            :      0.050u      0.000s      0.023w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls
trans_ints                          :      0.000u      0.017s      0.018w      2 calls
Trans (OO|OO)                       :      0.000u      0.000s      0.008w      2 calls
Trans (OO|OV)                       :      0.000u      0.000s      0.001w      2 calls
Trans (OO|VV)                       :      0.000u      0.000s      0.001w      2 calls
Trans (OV|OV)                       :      0.000u      0.000s      0.003w      2 calls
Trans (OV|VV)                       :      0.000u      0.000s      0.001w      2 calls
Sort chem -> phys                   :      0.000u      0.000s      0.001w      2 calls
Sort (OO|OO) -> <OO|OO>             :      0.000u      0.000s      0.000w      2 calls
Sort (OO|OV) -> <OO|OV>             :      0.000u      0.000s      0.000w      2 calls
Sort (OV|OV) -> <OO|VV>             :      0.000u      0.000s      0.000w      2 calls
Sort (OO|VV) -> <OV|OV>             :      0.000u      0.000s      0.000w      2 calls
Sort (OV|VV) -> <OV|VV>             :      0.000u      0.000s      0.000w      2 calls
Sort (VV|VV) -> <VV|VV>             :      0.000u      0.000s      0.001w      1 calls
Trans OEI                           :      0.000u      0.000s      0.000w      2 calls
Build Denominators                  :      0.000u      0.000s      0.000w      2 calls
Trans (VV|VV)                       :      0.000u      0.017s      0.003w      1 calls
T2(1)                               :      0.000u      0.000s      0.001w      2 calls
MP2 Energy                          :      0.000u      0.000s      0.001w      2 calls
G int                               :      0.000u      0.000s      0.001w      2 calls
OPDM                                :      0.000u      0.000s      0.000w      2 calls
TPDM OOVV                           :      0.000u      0.000s      0.001w      2 calls
TPDM REF                            :      0.000u      0.000s      0.001w      2 calls
TPDM CORR OPDM                      :      0.000u      0.000s      0.000w      2 calls
T2                                  :      0.000u      0.000s      0.004w      5 calls
CEPA Energy                         :      0.000u      0.000s      0.002w      5 calls
V int                               :      0.000u      0.000s      0.000w      1 calls
TPDM OOOO                           :      0.000u      0.000s      0.000w      1 calls
TPDM OVOV                           :      0.000u      0.000s      0.000w      1 calls
FNOCC: Initializing Integrals       :      0.000u      0.000s      0.000w      1 calls
FNOCC: Two Elec Int Trans.          :      0.017u      0.000s      0.007w      1 calls
FNOCC: CEPA energy                  :      0.017u      0.033s      0.163w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.150u      0.000s      0.093w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      4 calls
HF: Guess                           :      0.433u      0.000s      0.256w      4 calls
| SAD Guess                         :      0.367u      0.000s      0.223w      4 calls
HF: Form G                          :      0.000u      0.000s      0.001w     24 calls
| JK: D                             :      0.000u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     24 calls
| JK: JK                            :      0.000u      0.000s      0.001w     24 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      0.017u      0.000s      0.007w     20 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w     20 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.001w     20 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w     20 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w     20 calls
| | New vector                      :      0.000u      0.000s      0.000w     20 calls
HF: Form C                          :      0.000u      0.000s      0.001w     20 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      1 calls
Grad: S                             :      0.000u      0.000s      0.000w      1 calls
Grad: JK                            :      0.050u      0.000s      0.023w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls
trans_ints                          :      0.000u      0.017s      0.018w      2 calls
| Trans (OO|OO)                     :      0.000u      0.000s      0.008w      2 calls
| Trans (OO|OV)                     :      0.000u      0.000s      0.001w      2 calls
| Trans (OO|VV)                     :      0.000u      0.000s      0.001w      2 calls
| Trans (OV|OV)                     :      0.000u      0.000s      0.003w      2 calls
| Trans (OV|VV)                     :      0.000u      0.000s      0.001w      2 calls
| Sort chem -> phys                 :      0.000u      0.000s      0.001w      2 calls
| | Sort (OO|OO) -> <OO|OO>         :      0.000u      0.000s      0.000w      2 calls
| | Sort (OO|OV) -> <OO|OV>         :      0.000u      0.000s      0.000w      2 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.000u      0.000s      0.000w      2 calls
| | Sort (OO|VV) -> <OV|OV>         :      0.000u      0.000s      0.000w      2 calls
| | Sort (OV|VV) -> <OV|VV>         :      0.000u      0.000s      0.000w      2 calls
| | Sort (VV|VV) -> <VV|VV>         :      0.000u      0.000s      0.001w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.000w      2 calls
| Build Denominators                :      0.000u      0.000s      0.000w      2 calls
| Trans (VV|VV)                     :      0.000u      0.017s      0.003w      1 calls
T2(1)                               :      0.000u      0.000s      0.001w      2 calls
MP2 Energy                          :      0.000u      0.000s      0.001w      2 calls
G int                               :      0.000u      0.000s      0.001w      2 calls
OPDM                                :      0.000u      0.000s      0.000w      2 calls
TPDM OOVV                           :      0.000u      0.000s      0.001w      2 calls
